 DECAY0 generated file: BiPo212.dat                             

  date and hour         :   10.10.2007    15:32: 4
  initial random number :  0
    
  event type: Bi212           
    
 Format of data:
  for each event    - event's number,
                      time of event's start, 
                      number of emitted particles;
  for each particle - GEANT number of particle,
                      x,y,z components of momentum,
                      time shift from previous time
    
 Time - in sec, momentum - in MeV/c
    
 First event and full number of events:
 47   163.083      -174.640      -92.0473     0.355575E-07
      42  8348.71       2
  3  0.853748      0.170962       1.92872      0.00000    
 47   160.053       197.766       28.9715     0.346430E-07
      43  13879.5       2
  3  0.970824      -1.00654     -0.380166      0.00000    
 47   237.169      -55.5313       78.9607     0.122858E-07
      44  4304.30       3
 47   147.632      -152.739      -4.62080      0.00000    
  3  0.106074     -0.829943E-01  0.896391E-01 0.944936E-12
  1  0.125426E-01  0.644558E-02  0.511260E-02  0.00000    
      45  3259.60       3
 47   34.9806      -117.318      -173.663      0.00000    
  3  0.332332E-01  0.154472     -0.347688E-01 0.814336E-11
  1  0.177652E-02  0.713454E-02 -0.130745E-01  0.00000    
      46  932.954       2
  3 -0.264047       1.40036      -1.70653      0.00000    
 47  -11.3776      -251.026      -49.2380     0.104391E-06
      47  2407.37       2
  3 -0.713265     -0.746225      -1.23771      0.00000    
 47  -75.5477       215.801      -115.285     0.763926E-06
      48  3622.72       2
  3 -0.660405      -1.17800      0.477100E-01  0.00000    
 47   141.738       126.924      -171.372     0.408284E-07
      49  9124.60       3
 47  -181.034      -54.5400       96.9424      0.00000    
  3 -0.442345E-01  0.244254E-01  0.153693     0.225662E-10
  1 -0.767719E-02  0.178076E-02 -0.127628E-01  0.00000    
      50  4503.58       3
  3 -0.675840E-01  0.395988E-01  0.158236      0.00000    
  1  -1.47692     -0.234066      0.230422      0.00000    
 47   195.210      -160.612       40.7990     0.777980E-06
      51  25080.5       1
 47   184.216       88.2571      -60.9283      0.00000    
      52  3223.26       2
  3  0.256224      0.212552      0.337311      0.00000    
 47   192.316       126.272       112.418     0.601408E-06
      53  5.80626       3
