 DECAY0 generated file: Pb212.dat                               

  date and hour         :   10.10.2007    15:46:58
  initial random number :  0
    
  event type: Pb212           
    
 Format of data:
  for each event    - event's number,
                      time of event's start, 
                      number of emitted particles;
  for each particle - GEANT number of particle,
                      x,y,z components of momentum,
                      time shift from previous time
    
 Time - in sec, momentum - in MeV/c
    
 First event and full number of events:
  1  0.240931E-01 -0.262211E-01  0.837435E-01  0.00000    
      35  16241.0       1
  3 -0.488054     -0.218263      0.335086      0.00000    
      36  116298.       2
  3  0.216130E-01 -0.252001     -0.349585      0.00000    
  1 -0.723160E-01 -0.221739      0.521861E-01 0.556534E-12
      37  54613.2       1
  3 -0.701900      0.166744     -0.576858      0.00000    
      38  25451.9       2
  3 -0.283402      0.994063E-01  0.101915      0.00000    
  1 -0.288795E-01 -0.189957     -0.142138     0.630897E-12
      39  73626.5       3
  3  0.695781E-01 -0.239513     -0.147056      0.00000    
  3  0.411239      0.586927E-01  0.244485E-01 0.161722E-11
  1 -0.318857E-01 -0.402871E-01  0.751083E-01  0.00000    
      40  168150.       3
  3  0.252895     -0.137223     -0.315716      0.00000    
  3  0.119576      0.398548      0.453458E-02 0.201129E-11
  1 -0.381606E-02 -0.734984E-01 -0.535203E-01  0.00000    
      41  191159.       4
  3 -0.198631      0.737345E-01  0.354102      0.00000    
  1 -0.230600      0.644257E-01  0.180757      0.00000    
  3 -0.355552E-01 -0.384223E-01 -0.149544     0.430410E-12
  1 -0.511654E-01  0.744622E-01  0.108853E-01  0.00000    
      42  182001.       2
  3 -0.289031      0.247193     -0.487857      0.00000    
  1  0.100582     -0.764285E-01  0.202886     0.160130E-11
      43  34338.8       2
  3  0.127039     -0.821244E-01 -0.845907E-01  0.00000    
  1 -0.182024     -0.145740      0.524213E-01 0.224359E-11
      44  3665.79       2
  3  0.969214E-01 -0.396296     -0.192319E-01  0.00000    
  1  0.146293     -0.130971     -0.136257     0.428971E-12
      45  28585.0       3
  3 -0.388186     -0.621312E-01 -0.487389      0.00000    
  3  0.233265     -0.208320      0.274499     0.171978E-11
  1 -0.141729E-01 -0.898892E-01 -0.230716E-03  0.00000    
      46  33263.8       1
  3 -0.267778     -0.477650      0.193452E-01  0.00000    
      47  5230.40       3
  3 -0.472257E-01  0.575343      0.171386      0.00000    
  3 -0.559111E-01  0.404246     -0.813578E-01 0.125256E-11
  1  0.469848E-01  0.744540E-02  0.775758E-01  0.00000    
      48  42466.1       1
  3  0.205857      0.723196E-01  0.509480      0.00000    
      49  52673.1       2
  3  0.946575E-01 -0.951868E-01 -0.672455E-02  0.00000    
  1  0.762318E-01  0.128379     -0.186624     0.125039E-11
      50  264215.       3
  3 -0.410366     -0.514981     -0.540855E-01  0.00000    
  3  0.656949E-01 -0.219699      0.347241     0.751825E-12
  1  0.491981E-01  0.408126E-01  0.647678E-01  0.00000    
      51  77044.6       3
  3  0.188295      0.239481      0.108432      0.00000    
  3  0.201407E-01  0.238658      0.340289     0.696493E-11
  1 -0.501675E-01  0.437315E-02  0.757964E-01  0.00000    
      52  6767.93       2
  3 -0.292151E-01  0.649123E-01 -0.119637      0.00000    
  1  0.220769E-01 -0.172547     -0.163893     0.104748E-11
      53  51925.0       3
  3  0.424025E-01  0.141556     -0.106344E-02  0.00000    
  3  0.327089      0.194961     -0.167818     0.292929E-11
  1  0.183335E-01  0.690676E-01 -0.563431E-01  0.00000    
      54  5695.10       5
  3 -0.420247E-01  0.325826     -0.137140E-01  0.00000    
  3  0.360030      0.355261     -0.380323E-01  0.00000    
  1  0.751446E-01  0.129481E-01  0.496653E-01  0.00000    
