 DECAY0 generated file: BiPo214.dat                             

  date and hour         :   10.10.2007    15:34:51
  initial random number :  0
    
  event type: Bi214           
    
 Format of data:
  for each event    - event's number,
                      time of event's start, 
                      number of emitted particles;
  for each particle - GEANT number of particle,
                      x,y,z components of momentum,
                      time shift from previous time
    
 Time - in sec, momentum - in MeV/c
    
 First event and full number of events:
 1 10000
  3 -0.781199     -0.852700      -1.44014      0.00000    
  1   1.02166     -0.854105     -0.354404      0.00000    
 47  -70.6638       201.850      -107.832     0.292311E-04
      31  1189.64       2
  3 -0.879308      -1.56847      0.635243E-01  0.00000    
 47   92.4141      -157.096       155.386     0.224351E-04
      32  2300.45       3
  3 -0.212359      0.117261      0.737845      0.00000    
  1   1.52551     -0.772131      0.263716      0.00000    
 47   225.684       58.5141       54.8393     0.174160E-03
      33  1512.28       4
  3  -1.00688      0.522209       1.02525      0.00000    
  1   1.09642      0.578234E-01  0.871847      0.00000    
  1  0.526307      0.252152     -0.174073      0.00000    
 47   37.8120      -126.452       199.861     0.145650E-03
      34  897.679       3
  3 -0.773398E-02  0.398792E-01 -0.609654      0.00000    
  1  0.494512E-01  -1.80045       1.11629      0.00000    
 47  -132.039       11.5100       199.493     0.567832E-03
      35  210.968       5
  3  0.465812     -0.220296      0.438237      0.00000    
  1  -1.03876      0.106019      0.233749      0.00000    
  1  0.517084E-01 -0.616434      0.455148      0.00000    
  1 -0.240367     -0.241408      0.504804      0.00000    
 47   48.2530       181.783      -148.293     0.839884E-04
      36  177.526       4
  3  -1.30978     -0.172608      0.378549      0.00000    
  1 -0.354038     -0.849746E-01   1.05917      0.00000    
  1  0.280395      0.426897     -0.331690      0.00000    
 47   116.796      -181.071      -104.577     0.170583E-03
      37  3059.92       2
  3 -0.238937      -1.01506     -0.209608      0.00000    
 47   144.093       151.420      -116.934     0.174377E-03
      38  178.168       3
  3 -0.775398      0.976603      0.592791      0.00000    
  1  -1.72687      0.333078E-01 -0.985354E-01  0.00000    
 47   208.666      -117.299      -8.00580     0.928858E-04
      39  75.4437       5
  3  0.264090     -0.825728      0.702360      0.00000    
  1   1.30181     -0.920628     -0.418045E-01  0.00000    
  3 -0.310196     -0.806849      0.215361      0.00000    
  1 -0.327547E-02  0.876391E-01 -0.309462E-01  0.00000    
 47  -34.6596       236.793      -9.59304     0.181921E-03
      40  141.107       4
  3  0.878433      -1.70331     -0.325119      0.00000    
  1 -0.332592      -1.03657     -0.263241      0.00000    
  1  0.221446      0.544139      0.160485      0.00000    
 47  -51.8627       222.618       71.5268     0.117541E-03
      41  429.396       6
  3 -0.454114      0.749238     -0.506414      0.00000    
  3  0.329337     -0.502871     -0.548687      0.00000    
  1  0.243144E-02  0.927232E-01 -0.674534E-02  0.00000    
  1  0.141636       1.09470     -0.197007E-01  0.00000    
