#!bxdecay0 1.0.0
#@run_info_start
#@seed=314159
#@activity=2 Bq
#@nevents=200
#@category=1
#@nuclide=Xe136
#@daughter_level=1
#@mode_bb=3
#@min_energy=2 MeV
#@max_energy=4.3 MeV
#@toallevents=1
#@run_info_stop
#
# Format of an event (time in second,  momentum in MeV/c):
#
#   #@event_start
#   event-time nuclide
#   number-of-particles
#   code1 time1 px1 py1 pz1 name
#   ...
#   codeN timeN pxN pyN pzN name
#   #@event_stop
#

#@event_start
0.613460590471836 Xe136
3
3  0 -0.197557933279717 0.329499274970151 0.100086340947942 electron
3  0 -1.41485673844706 0.972466698439126 -0.920413673973601 electron
1  2.19180320795065e-13 0.814780292486893 0.0789141144142229 -0.0258193245688501 gamma
#@event_stop

#@event_start
0.62427651896363 Xe136
3
3  0 -1.15240495459101 0.311041207090291 -0.637587399006601 electron
3  0 0.263198743240885 -0.787630831175099 -0.724016545080024 electron
1  1.8499386029578e-13 0.145590465208619 0.800807858529745 -0.0909460837933181 gamma
#@event_stop

#@event_start
1.14219312215662 Xe136
3
3  0 -0.77089496339496 0.236784818037229 0.457851190729249 electron
3  0 -1.0356580132789 -0.0241953296343227 1.11026607223809 electron
1  6.10373663729856e-13 0.252999838034124 0.722731687324909 0.290535695037971 gamma
#@event_stop

#@event_start
0.0792718132818725 Xe136
3
3  0 0.146826906287489 0.628519197393606 0.675408273560694 electron
3  0 0.760171196008201 -0.52884873605326 1.19542857225245 electron
1  3.52948592397389e-12 0.283783524963807 -0.595413283630088 0.485500703023129 gamma
#@event_stop

#@event_start
0.102546628261685 Xe136
3
3  0 0.0734100079075422 1.51652306297602 -0.617337785081451 electron
3  0 -0.778877313708657 -0.108326882418697 -0.109431418976333 electron
1  4.69712653677379e-13 -0.232754981114243 0.372844069016147 -0.691066870111707 gamma
#@event_stop

#@event_start
0.447978161279727 Xe136
3
3  0 0.848240028952681 0.960917486443229 -0.113115729358731 electron
3  0 0.339735889668937 -0.676846146031295 -0.891534461318303 electron
1  4.03188178659629e-13 0.032508848927027 0.15509101263765 -0.803524083360585 gamma
#@event_stop

#@event_start
0.438692429012437 Xe136
3
3  0 0.478593673645286 -0.513549416137139 -0.494628414156805 electron
3  0 -1.09694329876362 1.05145241790916 0.437432809031699 electron
1  3.07574849568891e-12 0.580476596117113 -0.418713873335527 -0.398103772447147 gamma
#@event_stop

#@event_start
0.832555777598272 Xe136
3
3  0 0.656936047646758 0.267210325512726 -0.153391920950567 electron
3  0 -0.881418682273972 -1.36057940705347 -0.506144109437215 electron
1  3.27745360163478e-12 0.0602338413625985 0.602269615612218 0.551728370183205 gamma
#@event_stop

#@event_start
0.39852607917314 Xe136
3
3  0 0.128890622070779 0.15634137151037 -0.37578830267637 electron
3  0 1.27047790363063 -1.35052630078067 0.530426691765143 electron
1  7.73662457500425e-14 -0.46500082301 -0.631401537153039 -0.236362715927876 gamma
#@event_stop

#@event_start
0.952211526351439 Xe136
3
3  0 -0.458181763466787 1.439261509212 -0.520092679883503 electron
3  0 -0.545131425178287 -0.590698905519848 -0.24623773941469 electron
1  2.81762724973095e-12 -0.160970004259189 0.66455259373969 -0.450798744322394 gamma
#@event_stop

#@event_start
0.0699307865531292 Xe136
3
3  0 -0.795026446734831 -0.183397859671876 1.52428996561859 electron
3  0 0.595898397931822 -0.289686423390196 -0.1904692585577 electron
1  7.33557930947699e-13 0.55130923986937 -0.242300220200415 -0.555076323874012 gamma
#@event_stop

#@event_start
0.318586364299181 Xe136
3
3  0 1.64676904499065 0.532595039565478 0.722212077370631 electron
3  0 -0.113247390530823 0.472910056552317 -0.129756449129219 electron
1  2.33431455689637e-12 -0.0282585433006695 0.434057932990602 0.693942479992722 gamma
#@event_stop

#@event_start
0.721097760557579 Xe136
3
3  0 -0.0337481531472941 0.553755243160102 -1.24476790841519 electron
3  0 0.807735339263355 -0.341203250160253 0.650658667290682 electron
1  1.58400667013947e-12 0.258223067603008 0.611172577241918 0.480156149794174 gamma
#@event_stop

#@event_start
0.473250308768408 Xe136
3
3  0 0.402584083535356 0.247035309509966 -0.0375306356470666 electron
3  0 -0.235877191442409 -1.64116726240871 -0.920656219991404 electron
1  5.50371224019024e-13 0.491359855154707 0.622496518615316 0.204510579320866 gamma
#@event_stop

#@event_start
0.0629492121158126 Xe136
3
3  0 0.580909687377966 -0.078521289210144 -0.218748919923604 electron
3  0 -1.4033070522341 -1.05691801440057 0.29454658509446 electron
1  8.13693029996603e-13 -0.0774673239045964 -0.395590139891281 -0.712929347795318 gamma
#@event_stop

#@event_start
0.752238884378887 Xe136
3
3  0 0.122075785703989 -0.662372375487758 -1.23948344649106 electron
3  0 0.44170255272354 -0.640472722034014 0.693293078957226 electron
1  4.28287859928742e-12 0.0942081084322597 -0.618529917067925 0.528494630055558 gamma
#@event_stop

#@event_start
0.195900271118838 Xe136
3
