 DECAY0 generated file: Tl208.dat                               

  date and hour         :   10.10.2007    15:45:24
  initial random number :  0
    
  event type: Tl208           
    
 Format of data:
  for each event    - event's number,
                      time of event's start, 
                      number of emitted particles;
  for each particle - GEANT number of particle,
                      x,y,z components of momentum,
                      time shift from previous time
    
 Time - in sec, momentum - in MeV/c
    
 First event and full number of events:
 1 10000
  3  0.631130      0.324336      0.257261      0.00000    
  1  0.272292      0.179237      0.483343     0.967094E-10
  1 -0.807004E-01  -2.15169       1.48389     0.230130E-10
      30  248.617       4
  3  -1.38032      0.664836      0.575307      0.00000    
  1 -0.606887E-01  0.321859     -0.392230      0.00000    
  1 -0.259044E-01 -0.571534     -0.112104     0.194656E-09
  1 -0.362178       2.58643     -0.132107     0.542254E-11
      31  122.694       3
  3 -0.992177E-01 -0.629271     -0.161513E-02  0.00000    
  1  0.504205     -0.275696      0.982777E-01 0.123552E-09
  1  -1.48982      0.165927      -2.14269     0.993569E-10
      32  47.7717       4
  3 -0.577989     -0.174130      0.309509      0.00000    
  1  0.263837      0.418088E-01  0.435618      0.00000    
  1  0.514087     -0.260204      0.888706E-01 0.311644E-09
  1   2.46406      0.638868      0.598745     0.405302E-10
      33  781.845       4
  3  -1.02326      0.530705       1.04194      0.00000    
  1  0.399623      0.210754E-01  0.317770      0.00000    
  1  0.503837      0.241387     -0.166641     0.260627E-09
  1  0.412838      -1.38063       2.18212     0.240584E-10
      34  582.805       4
  3 -0.827892E-02  0.426892E-01 -0.652610      0.00000    
  1  0.119252E-01 -0.434181      0.269194      0.00000    
  1  0.582040      0.292985E-01  0.161359E-01 0.105295E-08
  1  0.776759     -0.912882       2.32412     0.413146E-10
      35  303.354       3
  3  0.358262     -0.542624      0.210625E-01  0.00000    
  1 -0.280676     -0.306674E-01  0.510068     0.114555E-09
  1  -2.53085     -0.572282E-01 -0.655548     0.113508E-09
      36  93.6397       4
  3  0.193535     -0.136793      0.538730      0.00000    
  1 -0.653100E-01  0.506361     -0.213127E-01  0.00000    
  1  0.375452     -0.815721E-01  0.438487     0.263333E-09
  1  0.273016       1.88551       1.79124     0.119271E-10
      37  190.185       5
  3  0.601353       1.08179     -0.333487      0.00000    
  1  0.220597     -0.608867E-01 -0.107882      0.00000    
  1 -0.664054E-01 -0.336013      0.379218      0.00000    
  1  0.467590     -0.331983      0.105052     0.272954E-09
  1  -2.00845      -1.49782      0.748926     0.578970E-10
      38  764.259       3
  3 -0.557218      -1.10724      0.415038      0.00000    
  1 -0.234841     -0.247519E-01 -0.533035     0.546039E-09
  1  -1.21702      -2.23289      0.609332     0.103441E-10
      39  445.577       3
  3 -0.264709     -0.218457E-01  -1.69761      0.00000    
  1 -0.369004      0.350352      0.284567     0.172163E-09
  1   1.92617       1.31158       1.18652     0.301870E-10
      40  21.6482       3
  3   1.12480      0.473109      -1.04808      0.00000    
  1  0.240808      0.497381      0.185775     0.150930E-09
  1   1.95364      0.605941       1.62921     0.461211E-10
      41  131.048       4
  3  0.129390     -0.693295     -0.121624      0.00000    
  1 -0.475868     -0.826172E-01  0.166870      0.00000    
  1  0.183829     -0.430815E-01 -0.551580     0.728020E-10
  1  0.683680E-01   2.60722     -0.189667     0.125754E-09
      42  189.774       4
  3 -0.718618     -0.665809      0.370879      0.00000    
  1 -0.167529      0.890232E-01  0.474478      0.00000    
  1 -0.221578      0.498665E-01  0.536941     0.460434E-10
  1  -1.04299      0.893712       2.22523     0.365471E-10
      43  228.444       3
  3  -1.09723     -0.631696E-01   1.57511      0.00000    
  1  0.363690     -0.443219     -0.105714     0.198440E-09
  1  -1.45913      -2.12806     -0.424896     0.134333E-11
      44  58.9982       4
  3 -0.822180       1.29635      0.237002E-01  0.00000    
  1 -0.331583      0.218251      0.321777      0.00000    
  1 -0.171633      0.394060     -0.393888     0.721137E-10
  1  -1.34022      -1.03738      -1.99145     0.155373E-09
      45  76.4528       3
  3  0.794319     -0.711425       1.76969      0.00000    
  1  0.389518     -0.411648      0.136787     0.107889E-08
  1  -1.39356      -1.84120       1.22727     0.246359E-10
      46  236.462       4
  3 -0.414686       1.12372      0.773841      0.00000    
  1 -0.496490      0.116149     -0.335945E-01  0.00000    
  1 -0.494178E-01 -0.481046     -0.325640     0.732104E-09
  1  -1.73426     -0.190693       1.94787     0.281044E-10
      47  425.525       3
  3 -0.532375      0.168215      0.716584E-01  0.00000    
  1 -0.525605     -0.238285     -0.827527E-01 0.606949E-09
  1  -2.17472      -1.26615     -0.711107     0.133315E-10
      48  302.314       3
  3 -0.284689      0.377933       1.62193      0.00000    
  1  0.295830      0.256803     -0.431771     0.240476E-09
  1  0.246119      -2.58884     -0.274872     0.956795E-10
      49  8.20239       4
  3 -0.796357E-01 -0.489593      0.477833      0.00000    
  1  0.498381      0.111865      0.149434E-01  0.00000    
  1  0.434373      0.255587     -0.293061     0.124940E-09
  1  0.511149       2.55207      0.252803     0.254263E-09
