 DECAY0 generated file: Pb214.dat                               

  date and hour         :   10.10.2007    15:46:31
  initial random number :  0
    
  event type: Pb214           
    
 Format of data:
  for each event    - event's number,
                      time of event's start, 
                      number of emitted particles;
  for each particle - GEANT number of particle,
                      x,y,z components of momentum,
                      time shift from previous time
    
 Time - in sec, momentum - in MeV/c
    
 First event and full number of events:
  1  0.102024E-02  0.104198E-01  0.120991E-01  0.00000    
      38  2395.53       2
  3  0.211437     -0.143513      0.649595      0.00000    
  1 -0.254130      0.208028     -0.126673      0.00000    
      39  2292.66       1
  3  -1.05816      0.251379     -0.869653      0.00000    
      40  1068.47       3
  3 -0.437948      0.153615      0.157492      0.00000    
  3  0.140260     -0.457353     -0.145805      0.00000    
  1 -0.366732E-02  0.420097E-01  0.806395E-01  0.00000    
      41  3425.51       2
  3 -0.155511     -0.239883      0.919099      0.00000    
  1 -0.103366     -0.130601      0.243483      0.00000    
      42  7058.92       2
  3  0.381503     -0.207007     -0.476273      0.00000    
  1  0.101149      0.337132      0.383580E-02  0.00000    
      43  3234.15       2
  3  0.493573      0.140994     -0.813329      0.00000    
  1  0.265640      0.126923      0.187348E-01  0.00000    
      44  1483.44       3
  3 -0.880977E-01 -0.952017E-01 -0.370537      0.00000    
  3 -0.379799      0.552730      0.808015E-01  0.00000    
  1  0.106654E-01  0.253395E-02  0.116545E-01  0.00000    
      45  316.959       2
  3  0.594203E-01  0.346520     -0.457896      0.00000    
  1 -0.168295      0.308050     -0.261857E-01  0.00000    
      46  5518.69       2
  3 -0.281379E-01 -0.750233      0.517390      0.00000    
  1 -0.221769      0.182685      0.203343      0.00000    
      47  153.890       3
  3  0.153100     -0.626003     -0.303794E-01  0.00000    
  3  0.955195E-01 -0.426623     -0.242842      0.00000    
  1 -0.722391E-01 -0.498568E-01 -0.240168E-01  0.00000    
      48  270.704       2
  3 -0.308036     -0.322270     -0.534528      0.00000    
  1 -0.103853      0.296654     -0.158478      0.00000    
      49  1602.13       3
  3 -0.170209E-01  -1.00219     -0.359203      0.00000    
  3  0.276822      0.247890     -0.334699      0.00000    
  1  0.361028E-01  0.715373E-01  0.431277E-01  0.00000    
      50  2384.98       2
  3 -0.134363      0.741927E-01  0.466847      0.00000    
  1  0.260130     -0.131664      0.449688E-01  0.00000    
      51  1704.50       2
  3 -0.645905E-01  0.378448E-01  0.151227      0.00000    
  1  0.247896     -0.249282     -0.176107E-01  0.00000    
      52  1991.29       3
  3  0.769272      0.405701E-01  0.611705      0.00000    
  3  0.583769      0.279682     -0.193078      0.00000    
  1 -0.399863E-02 -0.105162E-02 -0.154566E-01  0.00000    
      53  528.578       2
  3  0.401091      0.511306      0.379145      0.00000    
  1 -0.445554E-02  0.229744E-01 -0.351221      0.00000    
      54  4496.49       2
  3  0.131753      0.849210E-01  0.865444      0.00000    
  1  0.194557      0.112658     -0.270850      0.00000    
      55  343.945       3
  3  0.410566     -0.194169      0.386262      0.00000    
  3  0.318671     -0.482659      0.187349E-01  0.00000    
  1 -0.703547E-01  0.576305E-01 -0.315242E-02  0.00000    
      56  6430.19       4
  3 -0.164440     -0.165152      0.345346      0.00000    
  1  0.487549E-01  0.183674     -0.149836      0.00000    
  3  0.215454      0.586931E-01 -0.511228E-01  0.00000    
  1 -0.258656E-02 -0.243646E-02  0.183668E-02  0.00000    
      57  1513.21       2
  3 -0.328889     -0.789384E-01  0.983930      0.00000    
  1  0.162067      0.246745     -0.191716      0.00000    
      58  1669.49       5
  3  0.200219      0.360182     -0.111034      0.00000    
  1  0.402830     -0.111184     -0.197002      0.00000    
  1 -0.408049E-01 -0.206474      0.233023      0.00000    
  3  0.179777     -0.127639      0.403899E-01  0.00000    
  1 -0.153012E-01 -0.246639E-02 -0.397364E-02  0.00000    
      59  1177.38       2
  3 -0.294909E-01 -0.481143      0.295924E-02  0.00000    
  1 -0.150049     -0.298159      0.111762      0.00000    
      60  197.233       2
  3  0.816330      0.527319     -0.352705      0.00000    
  1  0.833165E-01 -0.260505      0.221584      0.00000    
      61  245.078       2
  3  0.969113     -0.366121E-01 -0.402304      0.00000    
  1 -0.147584     -0.254553      0.211349E-01  0.00000    
      62  5457.12       3
  3 -0.452751     -0.476790     -0.214710      0.00000    
  3  0.472342      0.198675     -0.440124      0.00000    
  1 -0.105948E-01 -0.614298E-02  0.102964E-01  0.00000    
      63  2498.09       2
  3  0.295761      0.726746      0.214342      0.00000    
  1 -0.638787E-01  0.274195      0.880987E-01  0.00000    
      64  578.282       5
  3 -0.244618     -0.424691E-01  0.857788E-01  0.00000    
  3  0.381598     -0.652345E-01 -0.363559      0.00000    
  1  0.716829E-02 -0.117670E-01  0.813352E-02  0.00000    
  3  0.181306      0.792920E-01  0.487766E-02  0.00000    
  1  0.205269E-02  0.158652E-01 -0.285517E-03  0.00000    
      65  1436.12       3
  3  0.440130     -0.307843      0.845349E-01  0.00000    
  3 -0.190072      0.427760E-01  0.460593      0.00000    
  1  0.599083E-01 -0.451982E-01  0.514696E-01  0.00000    
      66  2200.85       2
  3  0.370809     -0.313683     -0.409024      0.00000    
  1 -0.201091     -0.115772E-01  0.288674      0.00000    
      67  11413.5       3
  3 -0.676131      0.328258     -0.243919      0.00000    
  3  0.103529     -0.319195      0.500375      0.00000    
  1  0.102646E-01 -0.122709E-01 -0.251667E-03  0.00000    
      68  2502.99       2
